sub_region_1,date,workplaces_percent_change_from_baseline,Predicted
California,1/1/2022,-48,-27.10997399
California,1/1/2022,-50,-26.73127007
California,1/1/2022,-37,-19.09220297
California,1/1/2022,-45,-23.91214014
California,1/1/2022,-36,-15.63105585
California,1/1/2022,-48,-39.23535735
California,1/1/2022,-42,-28.55594945
California,1/1/2022,-45,-23.67233054
California,1/1/2022,-32,-24.07473586
California,1/1/2022,-55,-38.83910631
California,1/1/2022,-38,-31.92138825
California,1/1/2022,-47,-26.58530668
California,1/1/2022,-42,-21.6537581
California,1/1/2022,-36,-20.71616434
California,1/1/2022,-50,-22.04808802
California,1/1/2022,-29,-15.08599486
California,1/1/2022,-53,-34.65694205
California,1/1/2022,-35,-20.70137173
California,1/1/2022,-49,-35.18468232
California,1/1/2022,-40,-21.47376779
California,1/1/2022,-53,-34.95943924
California,1/1/2022,-48,-31.5374892
California,1/1/2022,-36,-29.1576409
California,1/1/2022,-42,-23.42990257
California,1/1/2022,-42,-20.48838407
California,1/1/2022,-44,-29.61056016
California,1/1/2022,-50,-27.70647877
California,1/1/2022,-42,-25.0573859
California,1/1/2022,-48,-20.63733388
California,1/1/2022,-32,-14.99981158
California,1/1/2022,-23,-19.66442563
California,1/1/2022,-43,-26.83665163
California,1/1/2022,-46,-24.05604352
California,1/1/2022,-45,-21.02515691
California,1/1/2022,-27,-25.43062563
California,1/1/2022,-45,-21.93160217
California,1/1/2022,-55,-32.58550025
California,1/1/2022,-35,-30.13848721
California,1/1/2022,-30,-24.14905956
Pennsylvania,1/1/2022,-49,-33.7679874
Pennsylvania,1/1/2022,-47,-33.52288136
Pennsylvania,1/1/2022,-50,-30.31607788
Pennsylvania,1/1/2022,-48,-33.15158922
Pennsylvania,1/1/2022,-48,-31.63753522
Pennsylvania,1/1/2022,-51,-34.02080903
Pennsylvania,1/1/2022,-44,-31.82551551
Pennsylvania,1/1/2022,-47,-29.23846993
Pennsylvania,1/1/2022,-48,-30.83942273
Pennsylvania,1/1/2022,-49,-37.71485985
Pennsylvania,1/1/2022,-46,-29.42502629
Pennsylvania,1/1/2022,-43,-29.10371279
Pennsylvania,1/1/2022,-43,-29.77388081
Pennsylvania,1/1/2022,-51,-32.31772927
Pennsylvania,1/1/2022,-49,-28.62463462
Pennsylvania,1/1/2022,-51,-33.64406285
Pennsylvania,1/1/2022,-45,-37.90647326
Pennsylvania,1/1/2022,-49,-33.5426047
Pennsylvania,1/1/2022,-49,-38.9381375
Pennsylvania,1/1/2022,-49,-34.22066686
Pennsylvania,1/1/2022,-35,-24.26688084
Pennsylvania,1/1/2022,-42,-31.54274834
Pennsylvania,1/1/2022,-47,-26.73978417
Wyoming,1/1/2022,-35,-29.49402195
Wyoming,1/1/2022,-40,-24.1565118
California,1/2/2022,-21,-15.195005
California,1/2/2022,-18,-14.899745
California,1/2/2022,-22,-21.19631769
California,1/2/2022,-11,-16.86224875
California,1/2/2022,-11,-18.93506073
California,1/2/2022,-16,-20.77913988
California,1/2/2022,-10,-15.16743618
California,1/2/2022,-14,-14.70443408
California,1/2/2022,-22,-21.49242008
California,1/2/2022,-9,-15.93272374
California,1/2/2022,-13,-19.91720598
California,1/2/2022,-20,-26.20851329
California,1/2/2022,-6,-13.40734441
California,1/2/2022,-15,-14.5687151
California,1/2/2022,-13,-8.864746565
California,1/2/2022,-16,-16.82372682
California,1/2/2022,-8,-18.31369692
California,1/2/2022,-20,-23.62007518
California,1/2/2022,-16,-15.98578633
California,1/2/2022,-23,-26.48797773
California,1/2/2022,-19,-17.63770976
California,1/2/2022,-13,-18.93085626
California,1/2/2022,-11,-16.45149193
California,1/2/2022,-20,-23.09345838
California,1/2/2022,-22,-15.98192587
California,1/2/2022,-21,-18.57526119
California,1/2/2022,-9,-16.22314296
California,1/2/2022,-20,-14.19685599
California,1/2/2022,-14,-14.41533747
California,1/2/2022,-20,-20.83748425
California,1/2/2022,-19,-15.60347082
California,1/2/2022,-18,-18.4834939
California,1/2/2022,-19,-14.34360586
California,1/2/2022,-21,-17.20537223
California,1/2/2022,-12,-13.92148848
Pennsylvania,1/2/2022,-19,-13.49254867
Pennsylvania,1/2/2022,-14,-13.19843326
Pennsylvania,1/2/2022,-8,-21.70179673
Pennsylvania,1/2/2022,-19,-13.38381316
Pennsylvania,1/2/2022,-11,-14.07660022
Pennsylvania,1/2/2022,-11,-14.85933773
Pennsylvania,1/2/2022,-19,-22.99397393
Pennsylvania,1/2/2022,-26,-28.49563711
Pennsylvania,1/2/2022,-15,-14.37584919
Pennsylvania,1/2/2022,-10,-22.91895993
Pennsylvania,1/2/2022,-20,-10.73890379
Pennsylvania,1/2/2022,-16,-12.72374178
Pennsylvania,1/2/2022,-14,-18.62127075
Pennsylvania,1/2/2022,-16,-20.1472623
Pennsylvania,1/2/2022,-14,-16.70990673
Pennsylvania,1/2/2022,-19,-11.46419829
Pennsylvania,1/2/2022,-27,-18.03293112
Pennsylvania,1/2/2022,-11,-18.29833246
Pennsylvania,1/2/2022,-18,-16.53353784
Pennsylvania,1/2/2022,-10,-21.5912703
Wyoming,1/2/2022,-9,-13.79072415
Wyoming,1/2/2022,-13,-12.13731069
California,1/3/2022,-54,-51.86200786
California,1/3/2022,-48,-43.621133
California,1/3/2022,-38,-38.16944326
California,1/3/2022,-40,-36.7926113
California,1/3/2022,-20,-25.16160228
California,1/3/2022,-31,-24.69742634
California,1/3/2022,-27,-28.71411708
California,1/3/2022,-40,-31.14284903
California,1/3/2022,-17,-31.94110532
California,1/3/2022,-45,-36.17780948
California,1/3/2022,-28,-24.85512802
California,1/3/2022,-50,-49.5207716
California,1/3/2022,-29,-32.82834407
California,1/3/2022,-20,-29.50210918
California,1/3/2022,-40,-28.63032021
California,1/3/2022,-44,-34.87496798
California,1/3/2022,-18,-18.96053769
California,1/3/2022,-42,-38.00044435
California,1/3/2022,-39,-43.61289669
California,1/3/2022,-38,-35.98811345
California,1/3/2022,-41,-37.39200925
California,1/3/2022,-38,-35.10724562
California,1/3/2022,-46,-39.73620768
California,1/3/2022,-64,-52.44728979
California,1/3/2022,-30,-38.12234105
California,1/3/2022,-38,-34.78482325
California,1/3/2022,-58,-57.19797071
California,1/3/2022,-38,-33.50497119
California,1/3/2022,-61,-62.02308105
California,1/3/2022,-44,-41.16069037
California,1/3/2022,-29,-29.98870439
California,1/3/2022,-13,-25.33221916
California,1/3/2022,-37,-42.92832323
California,1/3/2022,-40,-35.62467364
California,1/3/2022,-38,-33.23819519
California,1/3/2022,-38,-30.97085533
California,1/3/2022,-42,-36.02725018
California,1/3/2022,-46,-41.00302641
California,1/3/2022,-28,-33.42103805
Pennsylvania,1/3/2022,-43,-39.09829493
Pennsylvania,1/3/2022,-31,-34.21337964
Pennsylvania,1/3/2022,-29,-33.50914764
Pennsylvania,1/3/2022,-39,-47.75749829
Pennsylvania,1/3/2022,-34,-33.18265034
Pennsylvania,1/3/2022,-46,-50.08799748
Pennsylvania,1/3/2022,-36,-36.81183613
Pennsylvania,1/3/2022,-39,-30.21825261
Pennsylvania,1/3/2022,-51,-55.87655319
Pennsylvania,1/3/2022,-30,-29.90587814
Pennsylvania,1/3/2022,-23,-28.16703887
Pennsylvania,1/3/2022,-28,-33.30126479
Pennsylvania,1/3/2022,-35,-33.52566936
Pennsylvania,1/3/2022,-28,-24.59316872
Pennsylvania,1/3/2022,-27,-33.4616981
Pennsylvania,1/3/2022,-35,-37.95468141
Pennsylvania,1/3/2022,-46,-48.24711208
Pennsylvania,1/3/2022,-34,-38.85840754
Pennsylvania,1/3/2022,-50,-42.88307629
Pennsylvania,1/3/2022,-27,-32.72471655
Pennsylvania,1/3/2022,-29,-32.60136607
Pennsylvania,1/3/2022,-30,-36.71807503
Wyoming,1/3/2022,-14,-20.95998228
Wyoming,1/3/2022,-23,-23.0486797
California,1/4/2022,-49,-49.38220328
California,1/4/2022,-43,-42.66388199
California,1/4/2022,-33,-32.11437454
California,1/4/2022,-34,-31.52841231
California,1/4/2022,-24,-25.76431739
California,1/4/2022,-23,-21.984409
California,1/4/2022,-24,-25.96156836
California,1/4/2022,-35,-31.01100735
California,1/4/2022,-41,-35.74343199
California,1/4/2022,-28,-23.94113988
California,1/4/2022,-43,-47.72745532
California,1/4/2022,-18,-27.45165013
California,1/4/2022,-16,-24.48529368
California,1/4/2022,-39,-28.20056513
California,1/4/2022,-40,-29.97789298
California,1/4/2022,-11,-18.91358819
California,1/4/2022,-36,-38.99096009
California,1/4/2022,-32,-35.03520288
California,1/4/2022,-36,-33.01000091
California,1/4/2022,-35,-35.09352478
California,1/4/2022,-34,-32.04442207
California,1/4/2022,-40,-37.51705262
California,1/4/2022,-59,-52.41988813
California,1/4/2022,-24,-32.1927614
California,1/4/2022,-35,-35.22137015
California,1/4/2022,-51,-55.79741435
California,1/4/2022,-37,-33.32084994
California,1/4/2022,-51,-50.91145953
California,1/4/2022,-42,-41.39913029
California,1/4/2022,-23,-23.440887
California,1/4/2022,-8,-15.02452022
California,1/4/2022,-28,-33.74177827
California,1/4/2022,-33,-33.33356528
California,1/4/2022,-31,-30.58906257
California,1/4/2022,-5,-21.89592457
California,1/4/2022,-33,-30.78976873
California,1/4/2022,-35,-35.28582258
California,1/4/2022,-40,-38.85846692
California,1/4/2022,-22,-26.00073378
Pennsylvania,1/4/2022,-38,-35.03584948
Pennsylvania,1/4/2022,-19,-25.18961119
Pennsylvania,1/4/2022,-26,-39.90942829
Pennsylvania,1/4/2022,-28,-29.25429642
Pennsylvania,1/4/2022,-37,-42.45879231
Pennsylvania,1/4/2022,-27,-33.5682213
Pennsylvania,1/4/2022,-32,-24.22481675
Pennsylvania,1/4/2022,-38,-46.32605195
Pennsylvania,1/4/2022,-25,-27.26780659
Pennsylvania,1/4/2022,-20,-28.26980796
Pennsylvania,1/4/2022,-21,-25.75367535
Pennsylvania,1/4/2022,-25,-24.85059388
Pennsylvania,1/4/2022,-22,-24.04417476
Pennsylvania,1/4/2022,-23,-23.10380089
Pennsylvania,1/4/2022,-29,-30.21932614
Pennsylvania,1/4/2022,-36,-44.57579109
Pennsylvania,1/4/2022,-27,-33.21515928
Pennsylvania,1/4/2022,-40,-38.11389853
Pennsylvania,1/4/2022,-17,-25.37277524
Pennsylvania,1/4/2022,-20,-26.13665753
Pennsylvania,1/4/2022,-20,-31.49836332
Wyoming,1/4/2022,-11,-15.78643687
Wyoming,1/4/2022,-19,-14.19687164
California,1/5/2022,-49,-47.67815809
California,1/5/2022,-41,-40.06405747
California,1/5/2022,-30,-37.25712119
California,1/5/2022,-33,-30.86610846
California,1/5/2022,-22,-25.51264687
California,1/5/2022,-23,-21.04775312
California,1/5/2022,-25,-25.0082186
California,1/5/2022,-35,-29.55976983
California,1/5/2022,-13,-21.45382449
California,1/5/2022,-41,-37.76375538
California,1/5/2022,-26,-24.00597345
California,1/5/2022,-43,-48.1743668
California,1/5/2022,-20,-29.17164281
California,1/5/2022,-16,-27.30898273
California,1/5/2022,-38,-27.27100595
California,1/5/2022,-39,-28.14919644
California,1/5/2022,-11,-14.32990547
California,1/5/2022,-37,-38.93131729
California,1/5/2022,-32,-35.57191381
California,1/5/2022,-35,-32.61821381
California,1/5/2022,-36,-35.61714227
California,1/5/2022,-34,-31.94842859
California,1/5/2022,-41,-37.60847504
California,1/5/2022,-58,-53.15773112
California,1/5/2022,-24,-31.42947288
California,1/5/2022,-34,-33.48106096
California,1/5/2022,-49,-50.54426184
California,1/5/2022,-36,-34.64251331
California,1/5/2022,-50,-50.70333124
California,1/5/2022,-40,-36.78495995
California,1/5/2022,-26,-23.25529741
California,1/5/2022,-10,-20.31935157
California,1/5/2022,-32,-33.72324368
California,1/5/2022,-32,-31.2246394
California,1/5/2022,-31,-29.96843868
California,1/5/2022,-33,-30.49879404
California,1/5/2022,-35,-35.40989117
California,1/5/2022,-37,-39.42303685
California,1/5/2022,-20,-30.84191088
Pennsylvania,1/5/2022,-38,-35.59649518
Pennsylvania,1/5/2022,-21,-28.93463069
Pennsylvania,1/5/2022,-19,-27.30914163
Pennsylvania,1/5/2022,-25,-41.25189246
Pennsylvania,1/5/2022,-28,-29.44716036
Pennsylvania,1/5/2022,-36,-43.15439843
Pennsylvania,1/5/2022,-27,-31.8684212
Pennsylvania,1/5/2022,-33,-23.86917487
Pennsylvania,1/5/2022,-38,-45.55111506
Pennsylvania,1/5/2022,-25,-27.59956634
Pennsylvania,1/5/2022,-19,-27.91400991
Pennsylvania,1/5/2022,-20,-26.00129276
Pennsylvania,1/5/2022,-26,-24.2549433
Pennsylvania,1/5/2022,-21,-23.1888329
Pennsylvania,1/5/2022,-22,-25.54051191
Pennsylvania,1/5/2022,-28,-29.91682251
Pennsylvania,1/5/2022,-37,-43.77159534
Pennsylvania,1/5/2022,-26,-29.97470747
Pennsylvania,1/5/2022,-40,-39.61083247
Pennsylvania,1/5/2022,-21,-25.73943699
Pennsylvania,1/5/2022,-20,-24.54536303
Pennsylvania,1/5/2022,-20,-31.86430335
Wyoming,1/5/2022,-18,-27.00947398
Wyoming,1/5/2022,-24,-21.84748096
California,1/6/2022,-50,-49.17033978
California,1/6/2022,-43,-42.47492539
California,1/6/2022,-31,-40.36871828
California,1/6/2022,-35,-30.24289564
California,1/6/2022,-26,-28.89578491
California,1/6/2022,-22,-21.92760656
California,1/6/2022,-25,-26.54632118
California,1/6/2022,-35,-29.336985
California,1/6/2022,-13,-24.73939721
California,1/6/2022,-41,-37.62234303
California,1/6/2022,-26,-22.9236263
California,1/6/2022,-43,-45.56215735
California,1/6/2022,-21,-28.5720071
California,1/6/2022,-15,-23.44007671
California,1/6/2022,-38,-24.52632749
California,1/6/2022,-41,-34.60840699
California,1/6/2022,-13,-17.4112
California,1/6/2022,-37,-38.42417632
California,1/6/2022,-32,-33.87681019
California,1/6/2022,-36,-32.16855007
California,1/6/2022,-36,-36.34271629
California,1/6/2022,-34,-32.12524335
California,1/6/2022,-41,-39.61026839
California,1/6/2022,-58,-54.89823542
California,1/6/2022,-23,-29.65320376
California,1/6/2022,-37,-37.71374426
California,1/6/2022,-49,-51.5230804
California,1/6/2022,-38,-34.63932564
California,1/6/2022,-51,-51.5744705
California,1/6/2022,-43,-37.16576274
California,1/6/2022,-22,-25.8598103
California,1/6/2022,-12,-21.71925836
California,1/6/2022,-33,-35.17700262
California,1/6/2022,-34,-30.53891495
California,1/6/2022,-32,-30.37588334
California,1/6/2022,-9,-23.00001682
California,1/6/2022,-32,-30.83561998
California,1/6/2022,-35,-35.29328297
California,1/6/2022,-39,-39.92746398
California,1/6/2022,-19,-30.23625499
Pennsylvania,1/6/2022,-40,-40.03882658
Pennsylvania,1/6/2022,-22,-26.22586052
Pennsylvania,1/6/2022,-20,-29.63988596
Pennsylvania,1/6/2022,-25,-37.63195167
Pennsylvania,1/6/2022,-29,-29.71173335
Pennsylvania,1/6/2022,-37,-44.64807711
Pennsylvania,1/6/2022,-29,-37.68550543
Pennsylvania,1/6/2022,-34,-29.5042997
Pennsylvania,1/6/2022,-37,-43.37257668
Pennsylvania,1/6/2022,-25,-26.88479917
Pennsylvania,1/6/2022,-21,-26.25017039
Pennsylvania,1/6/2022,-25,-23.96346738
Pennsylvania,1/6/2022,-25,-26.3707337
Pennsylvania,1/6/2022,-22,-25.92929626
Pennsylvania,1/6/2022,-27,-30.5564094
Pennsylvania,1/6/2022,-36,-46.23897201
Pennsylvania,1/6/2022,-25,-32.14653222
Pennsylvania,1/6/2022,-39,-37.01065055
Pennsylvania,1/6/2022,-19,-30.60339763
Pennsylvania,1/6/2022,-22,-25.3960395
Pennsylvania,1/6/2022,-21,-33.31747058
Wyoming,1/6/2022,-49,-57.88466469
Wyoming,1/6/2022,-22,-16.82492359
California,1/7/2022,-46,-49.46035149
California,1/7/2022,-41,-44.08553792
California,1/7/2022,-33,-36.24308826
California,1/7/2022,-33,-32.33843678
California,1/7/2022,-21,-34.98025884
California,1/7/2022,-20,-30.01269468
California,1/7/2022,-25,-30.70637731
California,1/7/2022,-32,-32.52095729
California,1/7/2022,-14,-29.5500015
California,1/7/2022,-40,-39.85103718
California,1/7/2022,-25,-25.78870627
California,1/7/2022,-42,-44.90310012
California,1/7/2022,-15,-29.84421899
California,1/7/2022,-35,-26.84361536
California,1/7/2022,-41,-38.51295417
California,1/7/2022,-13,-26.36014518
California,1/7/2022,-35,-38.88532501
California,1/7/2022,-30,-38.15363774
California,1/7/2022,-34,-33.52111499
California,1/7/2022,-36,-38.83182288
California,1/7/2022,-32,-34.64991127
California,1/7/2022,-39,-38.7640014
California,1/7/2022,-55,-56.29953357
California,1/7/2022,-22,-34.48144907
California,1/7/2022,-34,-34.33371345
California,1/7/2022,-47,-52.65890871
California,1/7/2022,-36,-35.03874987
California,1/7/2022,-48,-51.91253012
California,1/7/2022,-41,-34.09858364
California,1/7/2022,-20,-28.93772754
California,1/7/2022,-11,-23.67262314
California,1/7/2022,-28,-41.06151688
California,1/7/2022,-32,-34.99573713
California,1/7/2022,-29,-31.85253017
California,1/7/2022,-7,-28.10097889
California,1/7/2022,-32,-31.22713406
California,1/7/2022,-31,-35.63935855
California,1/7/2022,-35,-42.5812723
California,1/7/2022,-20,-32.8932989
Pennsylvania,1/7/2022,-40,-43.87904168
Pennsylvania,1/7/2022,-23,-36.94918909
Pennsylvania,1/7/2022,-34,-42.05290878
Pennsylvania,1/7/2022,-44,-52.39203589
Pennsylvania,1/7/2022,-30,-32.01629748
Pennsylvania,1/7/2022,-53,-54.77499685
Pennsylvania,1/7/2022,-40,-44.28015768
Pennsylvania,1/7/2022,-46,-44.02852712
Pennsylvania,1/7/2022,-48,-56.03789356
Pennsylvania,1/7/2022,-26,-34.22172823
Pennsylvania,1/7/2022,-31,-39.29668567
Pennsylvania,1/7/2022,-29,-45.52241863
Pennsylvania,1/7/2022,-35,-44.58438482
Pennsylvania,1/7/2022,-33,-37.09471222
Pennsylvania,1/7/2022,-22,-29.95649639
Pennsylvania,1/7/2022,-41,-46.13979278
Pennsylvania,1/7/2022,-50,-54.63385022
Pennsylvania,1/7/2022,-41,-46.58006524
Pennsylvania,1/7/2022,-49,-51.58554197
Pennsylvania,1/7/2022,-25,-36.36735792
Pennsylvania,1/7/2022,-24,-33.40017759
Pennsylvania,1/7/2022,-38,-50.42084645
Wyoming,1/7/2022,-14,-20.6054347
Wyoming,1/7/2022,-19,-17.52688738
California,1/8/2022,-19,-20.83237877
California,1/8/2022,-23,-20.14930109
California,1/8/2022,-19,-22.92970471
California,1/8/2022,-18,-27.3530001
California,1/8/2022,-14,-24.08895784
California,1/8/2022,-12,-31.01676471
California,1/8/2022,-13,-29.09265135
California,1/8/2022,-22,-20.45980548
California,1/8/2022,-22,-23.92011673
California,1/8/2022,-9,-24.29040805
California,1/8/2022,-19,-30.21856863
California,1/8/2022,-17,-28.78624412
California,1/8/2022,-3,-22.80997106
California,1/8/2022,-20,-15.61779917
California,1/8/2022,-12,-22.13449473
California,1/8/2022,-20,-22.06662755
California,1/8/2022,-10,-27.45069998
California,1/8/2022,-19,-27.6039974
California,1/8/2022,-16,-17.98111815
California,1/8/2022,-22,-26.51313746
California,1/8/2022,-23,-25.39853008
California,1/8/2022,-14,-21.07269238
California,1/8/2022,-12,-25.55957463
California,1/8/2022,-23,-25.11102359
California,1/8/2022,-16,-31.35689448
California,1/8/2022,-27,-18.5021171
California,1/8/2022,-10,-21.29241335
California,1/8/2022,-22,-14.87781778
California,1/8/2022,-11,-21.59628346
California,1/8/2022,-4,-13.29729
California,1/8/2022,-13,-27.75473531
California,1/8/2022,-21,-17.99522032
California,1/8/2022,-16,-22.78907562
California,1/8/2022,-18,-21.35791835
California,1/8/2022,-4,-15.06387098
California,1/8/2022,-15,-19.59966033
California,1/8/2022,-22,-26.10950784
California,1/8/2022,-9,-24.71287271
California,1/8/2022,1,-24.83120058
Pennsylvania,1/8/2022,-19,-16.28147206
Pennsylvania,1/8/2022,-11,-15.13485222
Pennsylvania,1/8/2022,-5,-15.80941476
Pennsylvania,1/8/2022,-7,-33.43145218
Pennsylvania,1/8/2022,-18,-12.86063438
Pennsylvania,1/8/2022,-7,-27.97102985
Pennsylvania,1/8/2022,-10,-15.39546093
Pennsylvania,1/8/2022,-14,-10.22843395
Pennsylvania,1/8/2022,-19,-26.52793796
Pennsylvania,1/8/2022,-13,-15.55960354
Pennsylvania,1/8/2022,-4,-9.6945368
Pennsylvania,1/8/2022,-6,-17.54791654
Pennsylvania,1/8/2022,-8,-19.0579278
Pennsylvania,1/8/2022,-14,-17.19011523
Pennsylvania,1/8/2022,-13,-23.01194489
Pennsylvania,1/8/2022,-9,-22.69618541
Pennsylvania,1/8/2022,-9,-12.29422788
Pennsylvania,1/8/2022,-20,-19.91960927
Pennsylvania,1/8/2022,-6,-23.99935673
Pennsylvania,1/8/2022,-7,-12.08079332
Pennsylvania,1/8/2022,-11,-18.92577019
Wyoming,1/8/2022,-2,-14.00275161
Wyoming,1/8/2022,-16,-12.20648089
California,1/9/2022,-19,-16.84360721
California,1/9/2022,-17,-17.10103554
California,1/9/2022,-21,-18.06711091
California,1/9/2022,-10,-21.32278523
California,1/9/2022,-14,-23.67912719
California,1/9/2022,-14,-29.80616244
California,1/9/2022,-10,-22.60864519
California,1/9/2022,-16,-18.33888368
California,1/9/2022,-20,-19.07583975
California,1/9/2022,-9,-20.50319899
California,1/9/2022,-11,-24.96582368
California,1/9/2022,-20,-27.84581524
California,1/9/2022,-5,-20.19559059
California,1/9/2022,-19,-14.5136819
California,1/9/2022,-14,-24.53689442
California,1/9/2022,-15,-17.12759377
California,1/9/2022,-7,-19.04753339
California,1/9/2022,-19,-23.8183602
California,1/9/2022,-17,-16.36233647
California,1/9/2022,-21,-18.81192834
California,1/9/2022,-18,-18.03895458
California,1/9/2022,-14,-19.30700238
California,1/9/2022,-11,-17.32800981
California,1/9/2022,-23,-16.09309163
California,1/9/2022,-20,-26.26488379
California,1/9/2022,-18,-16.76981222
California,1/9/2022,-7,-15.95365655
California,1/9/2022,-17,-14.66506945
California,1/9/2022,-13,-20.31788889
California,1/9/2022,-19,-21.60631374
California,1/9/2022,-19,-15.83979931
California,1/9/2022,-16,-18.55004885
California,1/9/2022,-15,-18.07777308
California,1/9/2022,-19,-17.36051328
California,1/9/2022,-14,-21.36664302
Pennsylvania,1/9/2022,-17,-17.90480349
Pennsylvania,1/9/2022,-11,-19.27902764
Pennsylvania,1/9/2022,-8,-20.79835141
Pennsylvania,1/9/2022,-18,-14.65716635
Pennsylvania,1/9/2022,-11,-19.41037387
Pennsylvania,1/9/2022,-23,-23.31053729
Pennsylvania,1/9/2022,-29,-23.86737078
Pennsylvania,1/9/2022,-24,-22.4813953
Pennsylvania,1/9/2022,-10,-14.27834923
Pennsylvania,1/9/2022,-23,-22.59762835
Pennsylvania,1/9/2022,-19,-26.15764055
Pennsylvania,1/9/2022,-22,-23.30960615
Pennsylvania,1/9/2022,-21,-20.68280091
Pennsylvania,1/9/2022,-24,-22.40931402
Pennsylvania,1/9/2022,-22,-28.84545416
Pennsylvania,1/9/2022,-31,-26.1665595
Pennsylvania,1/9/2022,-13,-24.00059194
Pennsylvania,1/9/2022,-23,-19.4322668
Pennsylvania,1/9/2022,-26,-22.99040364
Pennsylvania,1/9/2022,-6,-18.80589764
Pennsylvania,1/9/2022,-10,-12.55799032
Pennsylvania,1/9/2022,-14,-8.900591311
Pennsylvania,1/9/2022,-15,-26.99440368
Wyoming,1/9/2022,-2,-10.52986805
Wyoming,1/9/2022,-13,-10.72270815
California,1/10/2022,-48,-48.52373892
California,1/10/2022,-42,-39.80606768
California,1/10/2022,-32,-33.5183059
California,1/10/2022,-31,-29.28176584
California,1/10/2022,-20,-26.21781194
California,1/10/2022,-19,-22.36092925
California,1/10/2022,-25,-29.60439469
California,1/10/2022,-21,-16.69378487
California,1/10/2022,-16,-21.17321861
California,1/10/2022,-39,-35.1469736
California,1/10/2022,-19,-20.19518142
California,1/10/2022,-42,-40.32459469
California,1/10/2022,-20,-30.16757411
California,1/10/2022,-14,-26.53559928
California,1/10/2022,-31,-15.22855182
California,1/10/2022,-31,-29.61399126
California,1/10/2022,-15,-16.09840642
California,1/10/2022,-36,-35.25389638
California,1/10/2022,-32,-35.14255295
California,1/10/2022,-29,-31.05376987
California,1/10/2022,-37,-34.57239893
California,1/10/2022,-31,-31.79705586
California,1/10/2022,-38,-35.51751065
California,1/10/2022,-61,-53.4780137
California,1/10/2022,-19,-29.17958393
California,1/10/2022,-31,-31.86286092
California,1/10/2022,-51,-54.52131397
California,1/10/2022,-31,-32.15994358
California,1/10/2022,-52,-52.0510082
California,1/10/2022,-37,-34.02492138
California,1/10/2022,-22,-22.90546532
California,1/10/2022,-9,-21.84309232
California,1/10/2022,-29,-33.46956384
California,1/10/2022,-34,-28.15522766
California,1/10/2022,-26,-29.67852186
California,1/10/2022,-24,-25.16374938
California,1/10/2022,-34,-33.40841272
California,1/10/2022,-37,-37.15997976
Pennsylvania,1/10/2022,-38,-39.93697204
Pennsylvania,1/10/2022,-22,-26.13125657
Pennsylvania,1/10/2022,-17,-23.22270175
Pennsylvania,1/10/2022,-24,-36.45389049
Pennsylvania,1/10/2022,-29,-28.93318151
Pennsylvania,1/10/2022,-35,-38.25019059
Pennsylvania,1/10/2022,-32,-31.706114
Pennsylvania,1/10/2022,-38,-28.81242559
Pennsylvania,1/10/2022,-35,-38.36616126
Pennsylvania,1/10/2022,-25,-24.40076414
Pennsylvania,1/10/2022,-18,-26.41606761
Pennsylvania,1/10/2022,-19,-25.8528389
Pennsylvania,1/10/2022,-26,-25.62164223
Pennsylvania,1/10/2022,-29,-28.0336282
Pennsylvania,1/10/2022,-21,-27.14038243
Pennsylvania,1/10/2022,-28,-29.59432954
Pennsylvania,1/10/2022,-37,-42.50211995
Pennsylvania,1/10/2022,-28,-29.33716069
Pennsylvania,1/10/2022,-39,-39.36183413
Pennsylvania,1/10/2022,-21,-26.2112408
Pennsylvania,1/10/2022,-22,-25.04916597
Pennsylvania,1/10/2022,-20,-28.96578685
Wyoming,1/10/2022,-11,-14.49550663
Wyoming,1/10/2022,-20,-14.26987195
California,1/11/2022,-47,-48.45028898
California,1/11/2022,-40,-39.99529231
California,1/11/2022,-34,-37.02745217
California,1/11/2022,-28,-29.44152742
California,1/11/2022,-25,-29.5473329
California,1/11/2022,-24,-21.30074815
California,1/11/2022,-25,-29.50062747
California,1/11/2022,-25,-28.24389977
California,1/11/2022,-37,-35.41496957
California,1/11/2022,-22,-22.79885396
California,1/11/2022,-40,-44.96403682
California,1/11/2022,-19,-29.50969496
California,1/11/2022,-15,-26.98570364
California,1/11/2022,-34,-19.44156136
California,1/11/2022,-33,-27.75412551
California,1/11/2022,-11,-25.03041326
California,1/11/2022,-35,-35.97742747
California,1/11/2022,-30,-34.33239986
California,1/11/2022,-30,-29.53777997
California,1/11/2022,-37,-36.6045468
California,1/11/2022,-31,-32.19419703
California,1/11/2022,-37,-36.21806061
California,1/11/2022,-58,-55.84668233
California,1/11/2022,-23,-31.74790451
California,1/11/2022,-31,-33.26863496
California,1/11/2022,-50,-55.62759196
California,1/11/2022,-33,-33.10034614
California,1/11/2022,-50,-52.82392573
California,1/11/2022,-39,-37.07759823
California,1/11/2022,-19,-22.07147416
California,1/11/2022,-10,-15.72862024
California,1/11/2022,-28,-33.58212313
California,1/11/2022,-34,-32.43605915
California,1/11/2022,-28,-29.55370258
California,1/11/2022,-23,-19.53593017
California,1/11/2022,-33,-33.61853055
California,1/11/2022,-37,-40.12179797
Pennsylvania,1/11/2022,-38,-39.10528726
Pennsylvania,1/11/2022,-17,-25.63028765
Pennsylvania,1/11/2022,-24,-37.39226934
Pennsylvania,1/11/2022,-29,-26.99199475
Pennsylvania,1/11/2022,-36,-38.39655262
